collector_timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,seq_num,reporting_sw,hops,egress_port_tx_util,egress_timestamp,hop_latency,ingress_timestamp,l1_egress_port_id,l1_ingress_port_id,l2_egress_port_id,l2_ingress_port_id,queue_occupancy,queue_occupancy_id,switch_id
1713556122.240511,25,10.0.2.2,10.0.4.2,7676,7878,17,25,2,3,0,1713556122235529000,1123,1713556122234406000,1,2,0,0,0,0,0
1713556122.3408897,26,10.0.2.2,10.0.4.2,7676,7878,17,26,2,3,0,1713556122338665000,1610188137,0,4,0,0,0,0,0,2
1713556122.3408897,26,10.0.2.2,10.0.4.2,7676,7878,17,26,2,3,0,1713556122337223000,479,1713556122336744000,2,1,0,0,0,0,1
1713556122.3408897,26,10.0.2.2,10.0.4.2,7676,7878,17,26,2,3,0,1713556122335831000,982,1713556122334849000,1,2,0,0,0,0,0
1713556122.4409933,27,10.0.2.2,10.0.4.2,7676,7878,17,27,2,3,0,1713556122438755000,1610288227,0,4,0,0,0,0,0,2
1713556122.4409933,27,10.0.2.2,10.0.4.2,7676,7878,17,27,2,3,0,1713556122437431000,521,1713556122436910000,2,1,0,0,0,0,1
1713556122.4409933,27,10.0.2.2,10.0.4.2,7676,7878,17,27,2,3,0,1713556122436174000,834,1713556122435340000,1,2,0,0,0,0,0
1713556122.5412936,28,10.0.2.2,10.0.4.2,7676,7878,17,28,2,3,0,1713556122539072000,1610388544,0,4,0,0,0,0,0,2
1713556122.5412936,28,10.0.2.2,10.0.4.2,7676,7878,17,28,2,3,0,1713556122537507000,467,1713556122537040000,2,1,0,0,0,0,1
1713556122.5412936,28,10.0.2.2,10.0.4.2,7676,7878,17,28,2,3,0,1713556122536356000,740,1713556122535616000,1,2,0,0,0,0,0
1713556122.6414816,29,10.0.2.2,10.0.4.2,7676,7878,17,29,2,3,0,1713556122639259000,1610488731,0,4,0,0,0,0,0,2
1713556122.6414816,29,10.0.2.2,10.0.4.2,7676,7878,17,29,2,3,0,1713556122637752000,454,1713556122637298000,2,1,0,0,0,0,1
1713556122.6414816,29,10.0.2.2,10.0.4.2,7676,7878,17,29,2,3,0,1713556122636632000,658,1713556122635974000,1,2,0,0,0,0,0
1713556122.7417717,30,10.0.2.2,10.0.4.2,7676,7878,17,30,2,3,0,1713556122739616000,1610589088,0,4,0,0,0,0,0,2
1713556122.7417717,30,10.0.2.2,10.0.4.2,7676,7878,17,30,2,3,0,1713556122738244000,481,1713556122737763000,2,1,0,0,0,0,1
1713556122.7417717,30,10.0.2.2,10.0.4.2,7676,7878,17,30,2,3,0,1713556122737064000,719,1713556122736345000,1,2,0,0,0,0,0
1713556122.8424807,31,10.0.2.2,10.0.4.2,7676,7878,17,31,2,3,0,1713556122840286000,1610689758,0,4,0,0,0,0,0,2
1713556122.8424807,31,10.0.2.2,10.0.4.2,7676,7878,17,31,2,3,0,1713556122838864000,625,1713556122838239000,2,1,0,0,0,0,1
1713556122.8424807,31,10.0.2.2,10.0.4.2,7676,7878,17,31,2,3,0,1713556122837542000,763,1713556122836779000,1,2,0,0,0,0,0
1713556122.942808,32,10.0.2.2,10.0.4.2,7676,7878,17,32,2,3,0,1713556122940687000,1610790159,0,4,0,0,0,0,0,2
1713556122.942808,32,10.0.2.2,10.0.4.2,7676,7878,17,32,2,3,0,1713556122939267000,597,1713556122938670000,2,1,0,0,0,0,1
1713556122.942808,32,10.0.2.2,10.0.4.2,7676,7878,17,32,2,3,0,1713556122937982000,830,1713556122937152000,1,2,0,0,0,0,0
1713556123.0435328,33,10.0.2.2,10.0.4.2,7676,7878,17,33,2,3,0,1713556123041249000,1610890721,0,4,0,0,0,0,0,2
1713556123.0435328,33,10.0.2.2,10.0.4.2,7676,7878,17,33,2,3,0,1713556123039791000,622,1713556123039169000,2,1,0,0,0,0,1
1713556123.0435328,33,10.0.2.2,10.0.4.2,7676,7878,17,33,2,3,0,1713556123038398000,800,1713556123037598000,1,2,0,0,0,0,0
1713556123.1431875,34,10.0.2.2,10.0.4.2,7676,7878,17,34,2,3,0,1713556123141072000,1610990544,0,4,0,0,0,0,0,2
1713556123.1431875,34,10.0.2.2,10.0.4.2,7676,7878,17,34,2,3,0,1713556123139784000,510,1713556123139274000,2,1,0,0,0,0,1
1713556123.1431875,34,10.0.2.2,10.0.4.2,7676,7878,17,34,2,3,0,1713556123138587000,668,1713556123137919000,1,2,0,0,0,0,0
1713556123.2440205,35,10.0.2.2,10.0.4.2,7676,7878,17,35,2,3,0,1713556123241946000,1611091418,0,4,0,0,0,0,0,2
1713556123.2440205,35,10.0.2.2,10.0.4.2,7676,7878,17,35,2,3,0,1713556123240456000,534,1713556123239922000,2,1,0,0,0,0,1
1713556123.2440205,35,10.0.2.2,10.0.4.2,7676,7878,17,35,2,3,0,1713556123239035000,718,1713556123238317000,1,2,0,0,0,0,0
1713556123.3439887,36,10.0.2.2,10.0.4.2,7676,7878,17,36,2,3,0,1713556123341903000,1611191375,0,4,0,0,0,0,0,2
1713556123.3439887,36,10.0.2.2,10.0.4.2,7676,7878,17,36,2,3,0,1713556123340509000,408,1713556123340101000,2,1,0,0,0,0,1
